Original Latitude,Original Longitude,Shifted Latitude,Shifted Longitude
38.31480662525106,-116.40094263477383,38.40480662525106,-116.31094263477382
36.65559907775756,-119.08464777883648,36.74559907775756,-118.99464777883648
38.13607420420354,-122.5772237685105,38.22607420420354,-122.4872237685105
41.00641710982155,-122.20490582035612,41.09641710982155,-122.11490582035611
35.33908584947297,-116.3626172349829,35.429085849472976,-116.2726172349829
35.94542904139377,-120.11994553048362,36.035429041393776,-120.02994553048362
34.19306323004198,-120.73168619225241,34.28306323004198,-120.64168619225241
40.469710942265635,-120.514578143722,40.55971094226564,-120.424578143722
34.066927088397996,-119.77048980512251,34.156927088398,-119.6804898051225
38.299893689561316,-119.01474244868375,38.38989368956132,-118.92474244868374
33.26448196837715,-119.78002969500903,33.35448196837715,-119.69002969500903
38.98202617439074,-121.264762679152,39.07202617439074,-121.174762679152
36.63450523191294,-115.80266391255435,36.72450523191294,-115.71266391255435
38.39870032570412,-120.34388915493189,38.48870032570412,-120.25388915493188
40.87494620467971,-114.47872960992851,40.96494620467971,-114.3887296099285
34.60618701682448,-120.8351800257462,34.69618701682448,-120.7451800257462
38.99713106269908,-115.2930182050138,39.087131062699086,-115.20301820501379
34.19419879396542,-115.80944243475122,34.28419879396542,-115.71944243475122
41.08448210787542,-123.57014111039024,41.17448210787542,-123.48014111039024
38.999871722761384,-120.44576065584363,39.08987172276139,-120.35576065584362
40.879817145131696,-118.96513297011884,40.9698171451317,-118.87513297011884
40.85158530571309,-118.44626265258259,40.94158530571309,-118.35626265258259
36.11809276341942,-114.48113767234246,36.20809276341942,-114.39113767234245
36.47528870648068,-124.42164218416718,36.565288706480686,-124.33164218416718
41.833135027063946,-116.22091569059933,41.92313502706395,-116.13091569059932
34.381861825198406,-118.58145521634609,34.47186182519841,-118.49145521634608
41.08496372758775,-122.69417960529908,41.17496372758775,-122.60417960529908
38.189884464697414,-116.42232366566067,38.27988446469742,-116.33232366566067
35.665102656877195,-120.84627272411397,35.7551026568772,-120.75627272411397
37.68625840589456,-119.05751450369365,37.776258405894566,-118.96751450369365
40.18121297431782,-114.8579438781938,40.27121297431783,-114.76794387819379
32.882173052983326,-116.13442335792718,32.97217305298333,-116.04442335792717
38.36018977607576,-118.61303499385448,38.45018977607576,-118.52303499385448
38.94578307930648,-116.49222895023125,39.03578307930648,-116.40222895023125
37.453717684146454,-115.92602593973218,37.54371768414646,-115.83602593973218
38.27177769897802,-121.48126740218089,38.361777698978024,-121.39126740218089
34.36530853268207,-124.01167334709338,34.455308532682075,-123.92167334709337
35.114522248203635,-123.83967419276915,35.20452224820364,-123.74967419276915
39.74085337783282,-116.63140429490875,39.830853377832824,-116.54140429490874
33.47484706761829,-119.67175102112932,33.564847067618295,-119.58175102112932
38.419838237178766,-118.36456332154565,38.50983823717877,-118.27456332154564
38.72000625965095,-117.8979704636396,38.810006259650955,-117.80797046363959
35.95343354857438,-117.19617827693752,36.043433548574384,-117.10617827693751
39.80918366317001,-121.6359782387234,39.899183663170014,-121.5459782387234
40.109014851863726,-120.59480677413288,40.19901485186373,-120.50480677413287
37.18100603258481,-120.99243596734681,37.271006032584815,-120.9024359673468
41.952922156597886,-120.53654790851272,42.04292215659789,-120.44654790851271
36.991065895895034,-114.49578628226644,37.08106589589504,-114.40578628226643
33.632105137278586,-116.60613319579684,33.72210513727859,-116.51613319579684
37.89596259671612,-116.77778413900018,37.98596259671612,-116.68778413900017
42.00737206310421,-119.37035035697261,42.09737206310421,-119.2803503569726
34.085934809408535,-122.46303858281925,34.17593480940854,-122.37303858281925
37.54660641279934,-118.52512660929224,37.636606412799345,-118.43512660929224
33.666128946192366,-118.50848011613982,33.75612894619237,-118.41848011613982
33.14160348836008,-117.31763392795243,33.231603488360086,-117.22763392795243
40.901665655601576,-118.30884376870138,40.99166565560158,-118.21884376870138
36.70497883287663,-124.0871614325595,36.79497883287663,-123.9971614325595
40.53118941966431,-120.76017099116747,40.62118941966431,-120.67017099116747
35.6270236879543,-123.99573489919698,35.7170236879543,-123.90573489919697
38.9763367440013,-117.92623440339221,39.066336744001305,-117.83623440339221
38.68266396367972,-123.34561228424094,38.772663963679726,-123.25561228424094
33.098413064196315,-114.38719910160495,33.18841306419632,-114.29719910160495
40.52014468575323,-120.2401210518617,40.610144685753234,-120.1501210518617
36.253877001972214,-117.66971277252831,36.34387700197222,-117.57971277252831
41.158719734458806,-120.44111157491822,41.24871973445881,-120.35111157491822
41.40727059117413,-120.46386450987467,41.497270591174136,-120.37386450987466
33.175133582795944,-119.85749202560099,33.26513358279595,-119.76749202560099
39.42985963040768,-117.95739194919841,39.51985963040768,-117.8673919491984
38.112030162323464,-118.58605248100162,38.20203016232347,-118.49605248100161
38.522039624814255,-122.04064852882746,38.61203962481426,-121.95064852882746
40.865701631686676,-116.21148018190858,40.95570163168668,-116.12148018190858
34.75451480589972,-115.59863137322388,34.84451480589972,-115.50863137322388
37.27006997851642,-119.37607114709364,37.36006997851642,-119.28607114709364
39.20460123241585,-117.99674464757368,39.29460123241585,-117.90674464757367
41.20811440674025,-123.16514982273506,41.298114406740254,-123.07514982273506
39.35268104111136,-122.06536458838328,39.44268104111136,-121.97536458838327
34.43047955374476,-116.68983386295756,34.520479553744764,-116.59983386295755
37.3138589387364,-121.87982070038069,37.403858938736406,-121.78982070038069
34.325721258540206,-115.18141564858577,34.41572125854021,-115.09141564858577
34.0176777309506,-123.68207890470796,34.107677730950606,-123.59207890470796
39.769958412911656,-115.97051145676907,39.85995841291166,-115.88051145676907
40.43646380895679,-114.83504784313071,40.52646380895679,-114.7450478431307
36.96677512896192,-120.89849383797524,37.056775128961924,-120.80849383797523
41.58563472345777,-123.93886594304749,41.675634723457776,-123.84886594304749
32.79979836116689,-114.79445622056873,32.889798361166896,-114.70445622056873
41.71630308656141,-118.55355328390743,41.806303086561414,-118.46355328390743
33.94629874141702,-119.23149494848873,34.03629874141702,-119.14149494848873
33.653925684823136,-116.33505673651179,33.74392568482314,-116.24505673651178
36.39797673957943,-123.3882121239905,36.48797673957943,-123.2982121239905
41.697306306065414,-118.31959630330756,41.78730630606542,-118.22959630330756
39.83224715406901,-115.28694671396948,39.92224715406901,-115.19694671396948
40.89470801223088,-116.49362330178268,40.98470801223088,-116.40362330178267
41.19139614386811,-121.4889581202991,41.281396143868115,-121.3989581202991
38.862731028858526,-121.72483801758105,38.95273102885853,-121.63483801758105
37.5251602865452,-123.99672904031844,37.615160286545205,-123.90672904031844
41.63718314620663,-122.5695438306468,41.727183146206634,-122.47954383064679
39.024260058989725,-120.64145172531124,39.11426005898973,-120.55145172531124
32.849850106917245,-115.77057924232393,32.93985010691725,-115.68057924232393
41.78658180906457,-123.00440640039703,41.876581809064575,-122.91440640039703
33.934974459829434,-124.34964592251865,34.02497445982944,-124.25964592251864
